Squadron Name;Insignia;Nickname;Command;Air Force;Wing;Date First Activated;Base;Aircraft;Tail Code
77th Weapons Squadron;;;Air Combat Command;United States Air Force Warfare Center;57 WG;15 January 1941;Dyess AFB, Texas;B-1B;
325th Weapons Squadron;;;Air Combat Command;United States Air Force Warfare Center;57 WG;1 March 1942;Whiteman AFB, Missouri;B-2A;
340th Weapons Squadron;;;Air Combat Command;United States Air Force Warfare Center;57 WG;3 February 1942;Barksdale AFB, Louisiana;B-52H;BD
433rd Weapons Squadron;;Satan's Angels;Air Combat Command;United States Air Force Warfare Center;57 WG;15 May 1943;Nellis AFB, Nevada;F-22A;WA
509th Weapons Squadron;;;Air Combat Command;United States Air Force Warfare Center;57 WG;1 March 1943;Fairchild AFB, Washington;KC-135, KC-46;
18th Aggressor Squadron;;Blue Foxes;Pacific Air Forces;Eleventh Air Force;354 FW;1 February 1940;Eielson AFB, Alaska;F-16C/D;AK
64th Aggressor Squadron;;Gomers;Air Combat Command;United States Air Force Warfare Center;57 WG;15 January 1941;Nellis AFB, Nevada;F-16C/D;WA
65th Aggressor Squadron;;;Air Combat Command;United States Air Force Warfare Center;57 WG;15 January 1941;Nellis AFB, Nevada;F-35A;WA
18th Special Operations Test and Evaluation Squadron;;Stingers;Air Force Special Operations Command;;492 SOW;15 January 1941;Hurlburt Field, Florida;AFSOC aircraft;
31st Test and Evaluation Squadron;;;Air Combat Command;United States Air Force Warfare Center;53 WG;26 June 1917;Edwards AFB, California;All;ED
49th Test and Evaluation Squadron;;Wolfpack;Air Combat Command;United States Air Force Warfare Center;53 WG;6 August 1917;Barksdale AFB, Louisiana;B-52;OT
72nd Test and Evaluation Squadron;;;Air Combat Command;United States Air Force Warfare Center;53 WG;18 February 1918;Whiteman AFB, Missouri;B-2;
85th Test and Evaluation Squadron;;;Air Combat Command;United States Air Force Warfare Center;53 WG;9 February 1942;Eglin AFB, Florida;F-15C, F-15E, F-15EX, F-16C;OT
88th Test and Evaluation Squadron;;;Air Combat Command;United States Air Force Warfare Center;53 WG;1 October 2002;Nellis AFB, Nevada;HH-60W;OT
337th Test and Evaluation Squadron;;;Air Combat Command;United States Air Force Warfare Center;53 WG;15 July 1942;Dyess AFB, Texas;B-1B;OT
422nd Test and Evaluation Squadron;;Green Bats;Air Combat Command;United States Air Force Warfare Center;53 WG;1 August 1943;Nellis AFB, Nevada;A-10C, F-15E, F-16C, F-22A, F-35A;OT
556th Test and Evaluation Squadron;;;Air Combat Command;United States Air Force Warfare Center;53 WG;20 June 1942;Creech AFB, Nevada;MQ-9;OT
1st Special Operations Squadron;;;Air Force Special Operations Command;;353 SOW;1 August 1939;Kadena AB, Japan;MC-130J;AFSOC does not use tail markings
2nd Special Operations Squadron;;;Air Force Reserve Command;Tenth Air Force;919 SOW;25 September 1917;Hurlburt Field, Florida;MQ-9;
3rd Special Operations Squadron;;;Air Force Special Operations Command;;27 SOW;4 April 1918;Cannon AFB, New Mexico;MQ-9;
4th Special Operations Squadron;;Ghostriders;Air Force Special Operations Command;;1 SOW;8 April 1942;Hurlburt Field, Florida;AC-130J;
5th Special Operations Squadron;;;Air Force Reserve Command;Tenth Air Force;919 SOW;1 May 1944;Hurlburt Field, Florida;AC-130J, C-145A, C-146A, MC-130H, U-28A;
7th Special Operations Squadron;;;Air Force Special Operations Command;;352 SOW;17 July 1942;RAF Mildenhall, United Kingdom;CV-22B;
8th Special Operations Squadron;;Blackbirds;Air Force Special Operations Command;;1 SOW;21 June 1917;Hurlburt Field, Florida;CV-22;
9th Special Operations Squadron;;Night Wings;Air Force Special Operations Command;;27 SOW;1 April 1944;Cannon AFB, Florida;MC-130J;
12th Special Operations Squadron;;;Air Force Special Operations Command;;27 SOW;15 January 1941;Cannon AFB, New Mexico;MQ-9;
15th Special Operations Squadron;;;Air Force Special Operations Command;;1 SOW;13 October 1942;Hurlburt Field, Florida;MC-130H;
16th Special Operations Squadron;;;Air Force Special Operations Command;;27 SOW;16 April 1942;Cannon AFB, New Mexico;AC-130J;
17th Special Operations Squadron;;Jackals;Air Force Special Operations Command;;353 SOW;2 March 1942;Kadena AB, Japan;MC-130J;
19th Special Operations Squadron;;;Air Force Special Operations Command;;492 SOW;1 February 1940;Hurlburt Field, Florida;AC-130J, MC-130H, U-28A;
20th Special Operations Squadron;;Green Hornets;Air Force Special Operations Command;;27 SOW;2 March 1942;Cannon AFB, New Mexico;CV-22;
21st Special Operations Squadron;;Dust Devils;Air Force Special Operations Command;;353 SOW;1 February 1940;Yokota AB, Japan;CV-22;
33rd Special Operations Squadron;;;Air Force Special Operations Command;;27 SOW;12 June 1917;Cannon AFB, New Mexico;MQ-9;
34th Special Operations Squadron;;;Air Force Special Operations Command;;1 SOW;14 February 1942;Hurlburt Field, Florida;U-28;
65th Special Operations Squadron;;;Air Force Special Operations Command;;1 SOW;15 January 1941;Hurlburt Field, Florida;MQ-9;
67th Special Operations Squadron;;Night Owls;Air Force Special Operations Command;;352 SOW;14 November 1952;RAF Mildenhall, United Kingdom;MC-130J;
71st Special Operations Squadron;;;Air Education and Training Command;Nineteenth Air Force;58 SOW;9 February 1943;Kirtland AFB, New Mexico;CV-22;
73rd Special Operations Squadron;;;Air Force Special Operations Command;;1 SOW;26 February 1918;Hurlburt Field, Florida;AC-130J;
150th Special Operations Squadron;;Guardians of the Gate;New Jersey Air National Guard;;108 WG;1 February 1956;JB McGuire–Dix–Lakehurst, Pennsylvania;C-32B;
185th Special Operations Squadron;;;Oklahoma Air National Guard;;137 SOW;4 February 1943;Will Rogers ANGB, Oklahoma;MC-12W;
193rd Special Operations Squadron;;;Pennsylvania Air National Guard;;193 SOW;1 October 1942;Harrisburg ANGB, Pennsylvania;EC-130J;
310th Special Operations Squadron;;;Air Force Special Operations Command;;27 SOW;1 October 1943;Cannon AFB, New Mexico;U-28A;
318th Special Operations Squadron;;;Air Force Special Operations Command;;27 SOW;1 May 1944;Cannon AFB, New Mexico;U-28A;
319th Special Operations Squadron;;;Air Force Special Operations Command;;1 SOW;1 September 1944;Hurlburt Field, Florida;U-28A;
415th Special Operations Squadron;;;Air Education and Training Command;Nineteenth Air Force;58 SOW;10 February 1943;Kirtland AFB, New Mexico;HC-130J, MC-130J;
524th Special Operations Squadron;;Hounds of Heaven;Air Force Special Operations Command;;492 SOW;15 January 1941;Duke Field, Florida;C-146A;
711th Special Operations Squadron;;;Air Force Reserve Command;Tenth Air Force;919 SOW;1 May 1943;Duke Field, Florida;C-145A;
859th Special Operations Squadron;;;Air Force Reserve Command;Tenth Air Force;919 SOW;18 October 1942;Duke Field, Florida;C-146A;
33rd Rescue Squadron;;;Pacific Air Forces;Fifth Air Force;18 WG;14 November 1952;Kadena AB, Japan;HH-60;ZZ
36th Rescue Squadron;;;Air Education and Training Command;Nineteenth Air Force;58 SOW;14 November 1952;Fairchild AFB, Washington;UH-1N;
39th Rescue Squadron;;;Air Force Reserve Command;Tenth Air Force;920 RQW;14 November 1952;Patrick SFB, Florida;HC-130J;FL
41st Rescue Squadron;;;Air Combat Command;Fifteenth Air Force;23 WG;14 November 1952;Moody AFB, Georgia;HH-60;FT
55th Rescue Squadron;;;Air Combat Command;Fifteenth Air Force;355 WG;14 November 1952;Davis–Monthan AFB, Arizona;HH-60;
56th Rescue Squadron;;;United States Air Forces in Europe – Air Forces Africa;Third Air Force;31 FW;14 November 1952;Aviano AB, Italy;HH-60;AV
48th Rescue Squadron;;;Air Combat Command;Fifteenth Air Force;355 WG;14 November 1952; Davis–Monthan Air Force Base, Arizona;HC-130J;
66th Rescue Squadron;;;Air Combat Command;Fifteenth Air Force;23 WG;14 November 1952;Nellis AFB, Nevada;HH-60;
71st Rescue Squadron;;;Air Combat Command;Fifteenth Air Force;23 WG;14 November 1952;Moody AFB, Georgia;HC-130J;FT
79th Rescue Squadron;;;Air Combat Command;Fifteenth Air Force;355 WG;14 November 1952;Davis–Monthan AFB, Arizona;HC-130J;DM
101st Rescue Squadron;;;New York Air National Guard;;106 RQW;2004;Francis S. Gabreski ANGB, New York;HH-60;
102nd Rescue Squadron;;;New York Air National Guard;;106 RQW;15 November 1915;Francis S. Gabreski ANGB, New York;HC-130J;
129th Rescue Squadron;;;California Air National Guard;;129 RQW;1 February 1940;Moffett Federal Airfield, California;HH-60;
130th Rescue Squadron;;;California Air National Guard;;129 RQW;1 October 2003;Moffett Federal Airfield, California;HC-130J;
210th Rescue Squadron;;;Alaska Air National Guard;;176 WG;1 July 1942;JB Elmendorf–Richardson, Alaska;HH-60;
211th Rescue Squadron;;;Alaska Air National Guard;;176 WG;2 October 2004;JB Elmendorf–Richardson, Alaska;HC-130J;
301st Rescue Squadron;;;Air Force Reserve Command;Tenth Air Force;920 RQW;18 August 1956;Patrick SFB, Florida;HH-60;
305th Rescue Squadron;;;Air Force Reserve Command;Tenth Air Force;920 RQW;8 February 1958;Davis–Monthan AFB, Arizona;HH-60;
512th Rescue Squadron;;;Air Education and Training Command;Nineteenth Air Force;58 SOW;31 October 1942;Kirtland AFB, New Mexico;UH-1N, HH-60;
1st Reconnaissance Squadron;;;Air Combat Command;Sixteenth Air Force;9 RW;5 March 1913;Beale AFB, California;U-2;BB
5th Reconnaissance Squadron;;Black Cats;Air Combat Command;Sixteenth Air Force;9 RW;5 May 1917;Osan AB, South Korea;U-2;BB
30th Reconnaissance Squadron;;;Air Combat Command;Fifteenth Air Force;432 WG;1 May 1943;Creech AFB, Nevada;RQ-170;
38th Reconnaissance Squadron;;;Air Combat Command;Sixteenth Air Force;55 WG;15 January 1941;Offutt AFB, Nebraska;RC-135;OF
44th Reconnaissance Squadron;;;Air Combat Command;Fifteenth Air Force;432 WG;30 June 1917;Creech AFB, Nevada;RQ-170;
45th Reconnaissance Squadron;;;Air Combat Command;Sixteenth Air Force;55 WG;1 October 1943;Offutt AFB, Nebraska;RC-135, TC-135, WC-135;OF
82nd Reconnaissance Squadron;;;Air Combat Command;Sixteenth Air Force;55 WG;1 June 1937;Kadena AB, Japan;RC-135;OF
95th Reconnaissance Squadron;;;Air Combat Command;Sixteenth Air Force;55 WG;20 August 1917;RAF Mildenhall, United Kingdom;RC-135;OF
99th Reconnaissance Squadron;;;Air Combat Command;Sixteenth Air Force;9 RW;21 August 1917;Beale AFB, California;U-2;BB
343rd Reconnaissance Squadron;;;Air Combat Command;Sixteenth Air Force;55 WG;1 February 1943;Offutt AFB, Nebraska;RC-135;OF
348th Reconnaissance Squadron;;Northern Hawks;Air Combat Command;Sixteenth Air Force;319 RW;1 June 1942;Grand Forks AFB, North Dakota;RQ-4B;GF
1st Helicopter Squadron;;;Direct Reporting Unit;Air Force District of Washington;11 WG;20 April 1944;JB Andrews, Maryland;UH-1N;
37th Helicopter Squadron;;;Air Force Global Strike Command;Twentieth Air Force;582 HG;14 November 1952;Francis E. Warren AFB, Wyoming;UH-1N;
40th Helicopter Squadron;;Pathfinders;Air Force Global Strike Command;Twentieth Air Force;582 HG;21 March 1968;Malmstrom AFB, Montana;UH-1N;
54th Helicopter Squadron;;;Air Force Global Strike Command;Twentieth Air Force;582 HG;14 November 1952;Minot AFB, North Dakota;UH-1N;
1st Flying Training Squadron;;;Air Education and Training Command;Nineteenth Air Force;12 FTW;1 July 1969;Pueblo Memorial Airport, Colorado;DA-20;
3rd Flying Training Squadron;;;Air Education and Training Command;Nineteenth Air Force;71 FTW;1 November 1916;Vance AFB, Oklahoma;T-1A;VN
5th Flying Training Squadron;;Spittin' Kittens;Air Force Reserve Command;Twenty-Second Air Force;340 Flying Training Group;15 January 1941;Vance AFB, Oklahoma;T-1A, T-6A, T-38;VN
8th Flying Training Squadron;;8 Ballers;Air Education and Training Command;Nineteenth Air Force;71 FTW;1 February 1942;Vance AFB, Oklahoma;T-6A;VN
23rd Flying Training Squadron;;;Air Education and Training Command;Nineteenth Air Force;58 SOW;15 January 1941;Fort Rucker, Alabama;TH-1H;
25th Flying Training Squadron;;Shooters;Air Education and Training Command;Nineteenth Air Force;71 FTW;9 February 1943;Vance AFB, Oklahoma;T-38;VN
33rd Flying Training Squadron;;Dragons;Air Education and Training Command;Nineteenth Air Force;71 FTW;1 February 1940;Vance AFB, Oklahoma;T-6A;VN
37th Flying Training Squadron;;Bengal Tigers;Air Education and Training Command;Nineteenth Air Force;14 FTW;15 January 1941;Columbus AFB, Mississippi;T-6A;CB
39th Flying Training Squadron;;;Air Force Reserve Command;Twenty-Second Air Force;340 Flying Training Group;1 February 1940;JB San Antonio, Texas;T-1A, T-6, T-38;RA
41st Flying Training Squadron;;Flying Buzzsaws;Air Education and Training Command;Nineteenth Air Force;14 FTW;1 February 1940;Columbus AFB, Mississippi;T-6A;CB
43rd Flying Training Squadron;;;Air Force Reserve Command;Twenty-Second Air Force;340 Flying Training Group;1 February 1940;Columbus AFB, Mississippi;AT-38, T-1A, T-6, T-38;CB
48th Flying Training Squadron;;Alley Cats;Air Education and Training Command;Nineteenth Air Force;14 FTW;4 August 1917;Columbus AFB, Mississippi;T-1A;CB
50th Flying Training Squadron;;Strikin' Snakes;Air Education and Training Command;Nineteenth Air Force;14 FTW;15 January 1941;Columbus AFB, Mississippi;T-38;CB
85th Flying Training Squadron;;Tigers;Air Education and Training Command;Nineteenth Air Force;47 FTW;15 January 1941;Laughlin AFB, Texas;T-6;XL
86th Flying Training Squadron;;;Air Education and Training Command;Nineteenth Air Force;47 FTW;15 January 1941;Laughlin AFB, Texas;T-1A;XL
87th Flying Training Squadron;;Red Bulls;Air Education and Training Command;Nineteenth Air Force;47 FTW;18 August 1917;Laughlin AFB, Texas;T-38;XL
89th Flying Training Squadron;;;Air Education and Training Command;Nineteenth Air Force;80 FTW;9 February 1942;Sheppard AFB, Texas;T-6;EN
90th Flying Training Squadron;;;Air Education and Training Command;Nineteenth Air Force;80 FTW;9 February 1942;Sheppard AFB, Texas;T-38;EN
94th Flying Training Squadron;;;Air Education and Training Command;Nineteenth Air Force;12 FTW;1 June 1943;U.S. Air Force Academy, Colorado;TG-15A, TG-15B, TG-16A;
96th Flying Training Squadron;;;Air Force Reserve Command;Twenty-Second Air Force;340 Flying Training Group;9 February 1942;Laughlin AFB, Texas;T-1A, T-6, T-38;XL
97th Flying Training Squadron;;;Air Force Reserve Command;Twenty-Second Air Force;340 Flying Training Group;9 February 1942;Sheppard AFB, Texas;T-6A, T-38C;EN
98th Flying Training Squadron;;;Air Education and Training Command;Nineteenth Air Force;12 FTW;16 December 1941;U.S. Air Force Academy, Colorado;UV-18B;
99th Flying Training Squadron;;;Air Education and Training Command;Nineteenth Air Force;12 FTW;22 March 1941;JB San Antonio, Texas;T-1A;RA
434th Flying Training Squadron;;Red Devils;Air Education and Training Command;Nineteenth Air Force;47 FTW;15 October 1943;Laughlin AFB, Texas;T-6A;XL
451st Flying Training Squadron;;;Air Education and Training Command;Nineteenth Air Force;12 FTW;17 July 1942;NAS Pensacola, Florida;T-1A;AP
455th Flying Training Squadron;;;Air Education and Training Command;Nineteenth Air Force;12 FTW;4 August 1942;NAS Pensacola, Florida;T-6A;AP
459th Flying Training Squadron;;Twin Dragons;Air Education and Training Command;Nineteenth Air Force;80 FTW;1 September 1943;Sheppard AFB, Texas;T-6A;EN
469th Flying Training Squadron;;;Air Education and Training Command;Nineteenth Air Force;80 FTW;15 July 1942;Sheppard AFB, Texas;T-38;EN
557th Flying Training Squadron;;;Air Education and Training Command;Nineteenth Air Force;12 FTW;1 December 1942;U.S. Air Force Academy, Colorado;T-41, -51, T-53A;
558th Flying Training Squadron;;Phantom Knights;Air Education and Training Command;Nineteenth Air Force;12 FTW;1 December 1942;JB San Antonio, Texas;MQ-1;
559th Flying Training Squadron;;Fighting Billygoats;Air Education and Training Command;Nineteenth Air Force;12 FTW;15 January 1941;JB San Antonio, Texas;T-6A;RA
560th Flying Training Squadron;;Chargin' Cheetahs;Air Education and Training Command;Nineteenth Air Force;12 FTW;24 December 1942;JB San Antonio, Texas;T-38C;RA
10th Flight Test Squadron;;;Air Force Reserve Command;Twenty-Second Air Force;413th Flight Test Group;15 January 1941;Tinker AFB, Oklahoma;B-1B, B-52H, E-3, KC-135;
40th Flight Test Squadron;;;Air Force Materiel Command;Air Force Test Center;96 TW;1 February 1940;Eglin AFB, Florida;A-10C, F-15C, F-15E, F-16C;ET
339th Flight Test Squadron;;;Air Force Reserve Command;Twenty-Second Air Force;413th Flight Test Group;3 October 1942;Robins AFB, Georgia;C-5, C-130, F-15C;
370th Flight Test Squadron;;;Air Force Reserve Command;Twenty-Second Air Force;413th Flight Test Group;15 April 1942;Edwards AFB, California;C-12, KC-10, KC-135;
411th Flight Test Squadron;;;Air Force Materiel Command;Air Force Test Center;412 TW;10 March 1989;Edwards AFB, California;F-22A;ED
413th Flight Test Squadron;;;Air Force Materiel Command;Air Force Test Center;96 TW;15 July 1942;Hurlburt Field, Florida;MH-139A;
415th Flight Test Flight;;;Air Force Reserve Command;Twenty-Second Air Force;413th Flight Test Group;3 February 1942;JB San Antonio, Texas;T-38;
416th Flight Test Squadron;;;Air Force Materiel Command;Air Force Test Center;412 TW;1 June 1942;Edwards AFB, California;F-16;
417th Flight Test Squadron;;;Air Force Materiel Command;Air Force Test Center;96 TW;10 March 1989;Eglin AFB, Florida;C-130;
418th Flight Test Squadron;;;Air Force Materiel Command;Air Force Test Center;412 TW;1 June 1942;Edwards AFB, California;C-5, C-17, KC-10, KC-46, KC-135;
419th Flight Test Squadron;;;Air Force Materiel Command;Air Force Test Center;412 TW;3 February 1942;Edwards AFB, California;B-1B, B-2A, B-52H;
420th Flight Test Squadron;;;Air Force Materiel Command;Air Force Test Center;412 TW;1 June 1943;Edwards AFB, California;B-21;
452nd Flight Test Squadron;;;Air Force Materiel Command;Air Force Test Center;412 TW;17 July 1942;Edwards AFB, California;RQ-4;
461st Flight Test Squadron;;;Air Force Materiel Command;Air Force Test Center;412 TW;12 December 1942;Edwards AFB, California;F-35A;
486th Flight Test Squadron;;;Air Force Materiel Command;Air Force Test Center;96 TW;1995;Eglin AFB, Florida;C-32B;
514th Flight Test Squadron;;;Air Force Reserve Command;Twenty-Second Air Force;413th Flight Test Group;31 October 1942;Hill AFB, Utah;A-10, C-130, F-16, F-22, F-35;
586th Flight Test Squadron;;;Air Force Materiel Command;Air Force Test Center;AEDC;5 March 1943;Holloman AFB, New Mexico;C-12F, C-12J, T-38C;
49th Fighter Training Squadron;;Black Knights;Air Education and Training Command;Nineteenth Air Force;14 FTW;15 January 1941;Columbus AFB, Mississippi;T-38;CB
88th Fighter Training Squadron;;;Air Education and Training Command;Nineteenth Air Force;80 FTW;9 February 1942;Sheppard AFB, Texas;T-38;EN
435th Fighter Training Squadron;;Deadly Black Eagles;Air Education and Training Command;Nineteenth Air Force;12 FTW;15 October 1943;JB San Antonio, Texas;T-38;RA
4th Fighter Squadron;;Fighting Fuujins;Air Combat Command;Fifteenth Air Force;388 FW;15 January 1941;Hill AFB, Utah;F-35A;HL
8th Fighter Squadron;;Black Sheep;Air Education and Training Command;Nineteenth Air Force;49 WG;15 January 1941;Holloman AFB, New Mexico;F-16C;HO
13th Fighter Squadron;;Panthers;Pacific Air Forces;Fifth Air Force;35 FW;1 February 1942;Misawa AB, Japan;F-16C;WW
14th Fighter Squadron;;Fighting Samurai;Pacific Air Forces;Fifth Air Force;35 FW;20 June 1942;Misawa AB, Japan;F-16C;WW
19th Fighter Squadron;;Gamecocks;Pacific Air Forces;Eleventh Air Force;15th Wing;14 June 1917;JB Pearl Harbor–Hickam, Hawaii;F-22A;HH
21st Fighter Squadron;;Gamblers;Air Education and Training Command;Nineteenth Air Force;56 FW;15 October 1944;Luke AFB, Arizona;F-16V;LF
24th Fighter Squadron;;Leaping Tigers;Air Combat Command;Fifteenth Air Force;495 FG;c.June 1917;NAS JRB Fort Worth, Texas;F-16C;
25th Fighter Squadron;;Assam Draggins;Pacific Air Forces;Seventh Air Force;51 FW;15 January 1941;Osan AB, South Korea;A-10C;OS
27th Fighter Squadron;;Fighting Eagles;Air Combat Command;Fifteenth Air Force;1 FW;8 May 1917;JB Langley–Eustis, Virginia;F-22A;FF
34th Fighter Squadron;;Rude Rams;Air Combat Command;Fifteenth Air Force;388 FW;15 October 1944;Hill AFB, Utah;F-35A;HL
35th Fighter Squadron;;Pantons;Pacific Air Forces;Seventh Air Force;8 FW;12 June 1917;Kunsan AB, South Korea;F-16C;WP
36th Fighter Squadron;;Flying Fiend Fiends;Pacific Air Forces;Seventh Air Force;51 FW;12 June 1917;Osan AB, South Korea;F-16C;OS
43rd Fighter Squadron;;American Hornets;Air Combat Command;Fifteenth Air Force;325 FW;13 June 1917;Tyndall AFB, Florida Eglin AFB, Florida;F-22A;TY
44th Fighter Squadron;;Vampire Bats;Pacific Air Forces;Fifth Air Force;18 WG;1 January 1941;Kadena AB, Japan;F-15C;ZZ
45th Fighter Squadron;;Hoosier Hogs;Air Force Reserve Command;Tenth Air Force;944 FW;1 December 1940;Davis–Monthan AFB, Arizona;A-10C;DM
47th Fighter Squadron;;Dogpatchers;Air Force Reserve Command;Tenth Air Force;944 FW;1 December 1940;Davis–Monthan AFB, Arizona;A-10C;DM
53rd Fighter Squadron;;Tigers;Air Combat Command;Fifteenth Air Force;495 FG;1 January 1941;JB Andrews, Maryland;F-16C;DC
55th Fighter Squadron;;The Fighting Fifty-Fifth;Air Combat Command;Fifteenth Air Force;20 FW;9 August 1917;Shaw AFB, South Carolina;F-16C;SW
58th Fighter Squadron;;Gorillas;Air Education and Training Command;Nineteenth Air Force;33 FW;15 January 1941;Eglin AFB, Florida;F-35A;EG
60th Fighter Squadron;;Fighting Crows;Air Education and Training Command;Nineteenth Air Force;33 FW;15 January 1941;Eglin AFB, Florida;F-35A;EG
61st Fighter Squadron;;Top Dogs;Air Education and Training Command;Nineteenth Air Force;56 FW;15 January 1941;Luke AFB, Arizona;F-35A;LF
62nd Fighter Squadron;;Spikes;Air Education and Training Command;Nineteenth Air Force;56 FW;15 January 1941;Luke AFB, Arizona;F-35A;LF
63rd Fighter Squadron;;Panthers;Air Education and Training Command;Nineteenth Air Force;56 FW;15 January 1941;Luke AFB, Arizona;F-35A;LF
67th Fighter Squadron;;Fighting Cocks;Pacific Air Forces;Fifth Air Force;18 WG;15 January 1941;Kadena AB, Japan;F-15C;ZZ
69th Fighter Squadron;;Werewolves;Air Force Reserve Command;Tenth Air Force;944 FW;15 January 1941;Luke AFB, Arizona;F-16C;LR
74th Fighter Squadron;;Flying Tigers;Air Combat Command;Fifteenth Air Force;23 WG;4 July 1942;Moody AFB, Georgia;A-10C;FT
75th Fighter Squadron;;Tiger Sharks;Air Combat Command;Fifteenth Air Force;23 WG;4 July 1942;Moody AFB, Georgia;A-10C;FT
76th Fighter Squadron;;Vanguards;Air Force Reserve Command;Tenth Air Force;442 FW;4 July 1942;Moody AFB, Georgia;A-10C;FT
77th Fighter Squadron;;The Gamblers;Air Combat Command;Fifteenth Air Force;20 FW;20 February 1918;Shaw AFB, South Carolina;F-16C;SW
79th Fighter Squadron;;Tigers;Air Combat Command;Fifteenth Air Force;20 FW;22 February 1918;Shaw AFB, South Carolina;F-16C;SW
80th Fighter Squadron;;Headhunters;Pacific Air Forces;Seventh Air Force;8 FW;10 January 1942;Kunsan AB, South Korea;F-16C;WP
81st Fighter Squadron;;Panthers;Air Education and Training Command;Nineteenth Air Force;14 FTW;15 January 1942;Moody AFB, Georgia;A-29B;
90th Fighter Squadron;;Dicemen;Pacific Air Forces;Eleventh Air Force;3rd Wing;20 August 1917;JB Elmendorf–Richardson, Alaska;F-22A;AK
93rd Fighter Squadron;;Makos;Air Force Reserve Command;Tenth Air Force;482 FW;1 June 1943;Homestead ARB, Florida;F-16C;FM
94th Fighter Squadron;;Hat in the Ring;Air Combat Command;Fifteenth Air Force;1 FW;20 August 1917;JB Langley–Eustis, Virginia;F-22A;FF
95th Fighter Squadron;;Boneheads;Air Combat Command;Fifteenth Air Force;325 FW;9 February 1942;Tyndall AFB, Florida;F-22A;TY
100th Fighter Squadron;;Red Tails;Alabama Air National Guard;;187 FW;19 February 1942;Montgomery RAP, Alabama;F-16C;AL
104th Fighter Squadron;;Fightin O's;Maryland Air National Guard;;175 WG;29 June 1921;Warfield ANGB, Maryland;A-10C;MD
107th Fighter Squadron;;The Red Devils;Michigan Air National Guard;;127 WG;27 August 1917;Selfridge ANGB, Michigan;A-10C;MI
112th Fighter Squadron;;Stingers;Ohio Air National Guard;;180 FW;18 August 1917;Toledo ANGB, Ohio;F-16C;OH
114th Fighter Squadron;;Eager Beavers;Oregon Air National Guard;;173 FW;26 June 1942;Kingsley Field ANGB, Oregon;F-15C;OR
119th Fighter Squadron;;Jersey Devils;New Jersey Air National Guard;;177 FW;5 June 1917;Atlantic City ANGB, New Jersey;F-16C;AC
120th Fighter Squadron;;Colorado Cougars Redeyes;Colorado Air National Guard;;140 WG;28 August 1917;Buckley Space Force Base, Colorado;F-16C;CO
121st Fighter Squadron;;Capital Guardians;District of Columbia Air National Guard;;113 WG;10 April 1941;JB Andrews, Maryland;F-16C;DC
122nd Fighter Squadron;;;Louisiana Air National Guard;;159 FW;2 March 1941;NAS JRB New Orleans, Louisiana;F-15C;JZ
123rd Fighter Squadron;;Redhawks;Oregon Air National Guard;;142 WG;18 April 1941;Portland ANGB, Oregon;F-15C;OR
125th Fighter Squadron;;Tulsa Vipers;Oklahoma Air National Guard;;138 FW;10 February 1941;Tulsa ANGB, Oklahoma;F-16C;OK
131st Fighter Squadron;;Barnestormers;Massachusetts Air National Guard;;104 FW;23 August 1942;Barnes ANGB, Massachusetts;F-15C;MA
134th Fighter Squadron;;Green Mountain Boys;Vermont Air National Guard;;158 FW;2 March 1942;Burlington ANGB, Vermont;F-35A;VT
148th Fighter Squadron;;;Arizona Air National Guard;;162 WG;2 October 1942;Morris ANGB, Arizona;F-16C;AZ
149th Fighter Squadron;;;Virginia Air National Guard;;192 WG;1 October 1942;JB Langley–Eustis, Virginia;F-22A, T-38;FF
152nd Fighter Squadron;;;Arizona Air National Guard;;162 WG;13 October 1939;Morris ANGB, Arizona;F-16C;AZ
157th Fighter Squadron;;Swamp Fox;South Carolina Air National Guard;;169 FW;1 October 1942;McEntire JNGB, South Carolina;F-16C;
159th Fighter Squadron;;Boxin' Gators;Florida Air National Guard;;125 FW;1 October 1942;Jacksonville ANGB, Florida;F-15C;
163rd Fighter Squadron;;Blacksnakes;Indiana Air National Guard;;122 FW;1 January 1943;Fort Wayne ANGB, Indiana;A-10C;IN
175th Fighter Squadron;;Lobos;South Dakota Air National Guard;;114 FW;15 May 1943;Joe Foss Field, South Dakota;F-16C;
176th Fighter Squadron;;Badger Air Militia;Wisconsin Air National Guard;;115 FW;22 July 1942;Truax Field ANGB, Wisconsin;F-16C;
179th Fighter Squadron;;Bulldogs;Minnesota Air National Guard;;148 FW;15 July 1943;Duluth ANGB, Minnesota;F-16C;
182nd Fighter Squadron;;Lonestar Gunfighters;Texas Air National Guard;;149 FW;1 June 1943;JB San Antonio, Texas;F-16C;
190th Fighter Squadron;;Skullbangers;Idaho Air National Guard;;124 FW;15 July 1943;Gowen Field ANGB, Idaho;A-10C;ID
194th Fighter Squadron;;Griffins;California Air National Guard;;144 FW;15 October 1943;Fresno ANGB, California;F-15C;
195th Fighter Squadron;;Warhawks;Arizona Air National Guard;;162 WG;15 August 1943;Morris ANGB, Arizona;F-16C;AZ
199th Fighter Squadron;;Mytai Fighters;Hawaii Air National Guard;;154 WG;12 October 1944;JB Pearl Harbor–Hickam, Hawaii;F-22A;HH
301st Fighter Squadron;;Kats;Air Force Reserve Command;Tenth Air Force;301 FW;13 October 1942;Eglin AFB, Florida;F-22A, T-38;TY
